Time,Regime
2025-03-17 00:06:35.292198092 +0530 IST,2
2025-03-17 00:06:36.297154234 +0530 IST,2
2025-03-17 00:06:37.292211042 +0530 IST,2
2025-03-17 00:06:38.292474613 +0530 IST,2
2025-03-17 00:06:39.292590717 +0530 IST,2
2025-03-17 00:06:40.292298208 +0530 IST,2
2025-03-17 00:06:41.292488158 +0530 IST,2
2025-03-17 00:06:42.292814529 +0530 IST,2
2025-03-17 00:06:43.292708923 +0530 IST,2
2025-03-17 00:06:44.292133279 +0530 IST,2
2025-03-17 00:06:45.292251624 +0530 IST,2
2025-03-17 00:06:46.292159476 +0530 IST,2
2025-03-17 00:06:47.292185647 +0530 IST,2
2025-03-17 00:06:48.292268073 +0530 IST,2
2025-03-17 00:06:49.292810507 +0530 IST,2
2025-03-17 00:06:50.292042767 +0530 IST,2
2025-03-17 00:06:51.292533956 +0530 IST,2
2025-03-17 00:06:52.292376902 +0530 IST,2
2025-03-17 00:06:53.292108122 +0530 IST,2
2025-03-17 00:06:54.292336363 +0530 IST,2
2025-03-17 00:06:55.292331415 +0530 IST,2
2025-03-17 00:06:56.292285448 +0530 IST,2
2025-03-17 00:06:57.292353795 +0530 IST,2
2025-03-17 00:06:58.29219919 +0530 IST,2
2025-03-17 00:06:59.292250047 +0530 IST,2
2025-03-17 00:07:00.292296475 +0530 IST,2
2025-03-17 00:07:01.292207533 +0530 IST,2
2025-03-17 00:07:02.29229048 +0530 IST,2
2025-03-17 00:07:03.292615642 +0530 IST,2
2025-03-17 00:07:04.292028075 +0530 IST,2
2025-03-17 00:07:05.292324702 +0530 IST,2
2025-03-17 00:07:06.292332974 +0530 IST,2
2025-03-17 00:07:07.29233759 +0530 IST,2
2025-03-17 00:07:08.292473091 +0530 IST,2
2025-03-17 00:07:09.292548963 +0530 IST,2
2025-03-17 00:07:10.292206724 +0530 IST,2
2025-03-17 00:07:11.292096792 +0530 IST,2
2025-03-17 00:07:12.292423737 +0530 IST,2
2025-03-17 00:07:13.292516946 +0530 IST,2
2025-03-17 00:07:14.29222851 +0530 IST,2
2025-03-17 00:07:15.29214255 +0530 IST,2
2025-03-17 00:07:16.292273813 +0530 IST,2
2025-03-17 00:07:17.292301806 +0530 IST,2
2025-03-17 00:07:19.292203317 +0530 IST,2
2025-03-17 00:07:20.292403993 +0530 IST,2
2025-03-17 00:07:22.292320942 +0530 IST,2
2025-03-17 00:07:23.292288224 +0530 IST,2
2025-03-17 00:07:24.292330195 +0530 IST,2
2025-03-17 00:07:25.292194364 +0530 IST,2
2025-03-17 00:07:26.292434067 +0530 IST,2
2025-03-17 00:07:27.292369473 +0530 IST,2
2025-03-17 00:07:28.292410348 +0530 IST,2
2025-03-17 00:07:29.292325972 +0530 IST,2
2025-03-17 00:07:30.292326254 +0530 IST,2
2025-03-17 00:07:31.292685442 +0530 IST,2
2025-03-17 00:07:32.292510757 +0530 IST,2
2025-03-17 00:07:33.29213114 +0530 IST,2
2025-03-17 00:07:34.292619206 +0530 IST,2
2025-03-17 00:07:35.292271921 +0530 IST,2
2025-03-17 00:07:36.292799222 +0530 IST,2
2025-03-17 00:07:37.292144347 +0530 IST,2
2025-03-17 00:07:38.292446632 +0530 IST,2
2025-03-17 00:07:39.292145709 +0530 IST,2
2025-03-17 00:07:40.292167717 +0530 IST,2
2025-03-17 00:07:41.29227601 +0530 IST,2
2025-03-17 00:07:42.29230227 +0530 IST,2
2025-03-17 00:07:43.292471639 +0530 IST,2
2025-03-17 00:07:44.292442415 +0530 IST,2
2025-03-17 00:07:45.292485432 +0530 IST,2
2025-03-17 00:07:46.292328647 +0530 IST,2
2025-03-17 00:07:47.292376461 +0530 IST,2
2025-03-17 00:07:48.292310754 +0530 IST,2
2025-03-17 00:07:49.292199902 +0530 IST,2
2025-03-17 00:07:50.292117364 +0530 IST,2
2025-03-17 00:07:51.292754857 +0530 IST,2
2025-03-17 00:07:52.292337032 +0530 IST,2
2025-03-17 00:07:53.292301038 +0530 IST,2
2025-03-17 00:07:54.292137651 +0530 IST,2
2025-03-17 00:07:55.292437926 +0530 IST,2
2025-03-17 00:07:56.292356708 +0530 IST,2
2025-03-17 00:07:57.292024204 +0530 IST,2
2025-03-17 00:07:58.29221557 +0530 IST,2
2025-03-17 00:07:59.292140065 +0530 IST,2
2025-03-17 00:08:00.29248215 +0530 IST,2
2025-03-17 00:08:01.292146802 +0530 IST,2
2025-03-17 00:08:02.292460789 +0530 IST,2
2025-03-17 00:08:03.292397495 +0530 IST,2
2025-03-17 00:08:04.292307948 +0530 IST,2
2025-03-17 00:08:06.292824734 +0530 IST,2
2025-03-17 00:08:07.292659835 +0530 IST,2
2025-03-17 00:08:08.292340021 +0530 IST,2
2025-03-17 00:08:09.294166988 +0530 IST,2
2025-03-17 00:08:10.292629482 +0530 IST,2
2025-03-17 00:08:11.2921936 +0530 IST,2
2025-03-17 00:08:12.292292142 +0530 IST,2
2025-03-17 00:08:13.292198427 +0530 IST,2
2025-03-17 00:08:14.292351772 +0530 IST,2
2025-03-17 00:08:15.292442323 +0530 IST,2
2025-03-17 00:08:16.29220323 +0530 IST,2
2025-03-17 00:08:17.29282658 +0530 IST,2
2025-03-17 00:08:18.292194699 +0530 IST,2
2025-03-17 00:08:19.292293139 +0530 IST,2
2025-03-17 00:08:20.292292462 +0530 IST,2
2025-03-17 00:08:21.292525862 +0530 IST,2
2025-03-17 00:08:22.292746172 +0530 IST,2
2025-03-17 00:08:23.292289902 +0530 IST,2
2025-03-17 00:08:24.292262065 +0530 IST,2
2025-03-17 00:08:25.292121999 +0530 IST,2
2025-03-17 00:08:26.292476027 +0530 IST,2
2025-03-17 00:08:27.292409817 +0530 IST,2
2025-03-17 00:08:28.292665286 +0530 IST,2
2025-03-17 00:08:29.292396953 +0530 IST,2
2025-03-17 00:08:30.29230303 +0530 IST,2
2025-03-17 00:08:31.292568579 +0530 IST,2
2025-03-17 00:08:32.292468064 +0530 IST,2
2025-03-17 00:08:33.292251091 +0530 IST,2
2025-03-17 00:08:34.29223485 +0530 IST,2
2025-03-17 00:08:35.292303337 +0530 IST,2
2025-03-17 00:08:36.292422824 +0530 IST,2
2025-03-17 00:08:37.292357424 +0530 IST,2
2025-03-17 00:08:38.292391198 +0530 IST,2
2025-03-17 00:08:39.292276926 +0530 IST,2
2025-03-17 00:08:40.292314257 +0530 IST,2
2025-03-17 00:08:41.292457252 +0530 IST,2
2025-03-17 00:08:42.292046809 +0530 IST,2
2025-03-17 00:08:43.292224473 +0530 IST,2
2025-03-17 00:08:44.292407873 +0530 IST,2
2025-03-17 00:08:45.292148277 +0530 IST,2
2025-03-17 00:08:46.292561484 +0530 IST,2
2025-03-17 00:08:47.292114552 +0530 IST,2
2025-03-17 00:08:48.292425153 +0530 IST,2
2025-03-17 00:08:49.292472792 +0530 IST,2
2025-03-17 00:08:50.292586686 +0530 IST,2
2025-03-17 00:08:51.292281726 +0530 IST,2
2025-03-17 00:08:52.292219071 +0530 IST,2
2025-03-17 00:08:53.292071591 +0530 IST,2
2025-03-17 00:08:54.292478096 +0530 IST,2
2025-03-17 00:08:55.29222665 +0530 IST,2
2025-03-17 00:08:56.292221602 +0530 IST,2
2025-03-17 00:08:57.292598483 +0530 IST,2
2025-03-17 00:08:58.29237511 +0530 IST,2
2025-03-17 00:08:59.305004536 +0530 IST,2
2025-03-17 00:09:00.292361944 +0530 IST,2
2025-03-17 00:09:01.292202082 +0530 IST,2
2025-03-17 00:09:02.292276508 +0530 IST,2
2025-03-17 00:09:03.292585546 +0530 IST,2
2025-03-17 00:09:04.292312434 +0530 IST,2
2025-03-17 00:09:05.2920749 +0530 IST,2
